[mouse] null (code=0, x=227, y=228, time=1762982748205, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982756206, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982944038, student=Joao, exam=pppo)
[mouse] null (code=0, x=23, y=220, time=1762982944063, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982944059, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982944746, student=Joao, exam=pppo)
[mouse] null (code=0, x=23, y=220, time=1762982944748, student=Joao, exam=pppo)
[mouse] null (code=0, x=23, y=220, time=1762982945585, student=Joao, exam=pppo)
[mouse] null (code=0, x=23, y=220, time=1762982946125, student=Joao, exam=pppo)
[mouse] null (code=0, x=23, y=220, time=1762982946816, student=Joao, exam=pppo)
[mouse] null (code=0, x=23, y=220, time=1762982947705, student=Joao, exam=pppo)
[mouse] null (code=0, x=23, y=220, time=1762982948509, student=Joao, exam=pppo)
[mouse] null (code=0, x=23, y=220, time=1762982949155, student=Joao, exam=pppo)
[mouse] null (code=0, x=23, y=220, time=1762982950014, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982952264, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982954435, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982954451, student=Joao, exam=pppo)
[mouse] null (code=0, x=734, y=182, time=1762982954459, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982955165, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982955165, student=Joao, exam=pppo)
[mouse] null (code=0, x=601, y=180, time=1762982955167, student=Joao, exam=pppo)
[mouse] null (code=0, x=601, y=180, time=1762982957209, student=Joao, exam=pppo)
[mouse] null (code=0, x=601, y=180, time=1762982957959, student=Joao, exam=pppo)
[mouse] null (code=0, x=601, y=180, time=1762982958480, student=Joao, exam=pppo)
[mouse] null (code=0, x=601, y=180, time=1762982958952, student=Joao, exam=pppo)
[mouse] null (code=0, x=601, y=180, time=1762982959306, student=Joao, exam=pppo)
[mouse] null (code=0, x=601, y=180, time=1762982960939, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982970209, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762983040554, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762983040839, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762983040840, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762983041283, student=Joao, exam=pppo)
