[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475410966, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475412345, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475412406, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475413580, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475413641, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475413704, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475413763, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475413938, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475414012, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475415219, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475415277, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475415570, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475415703, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475415967, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475416030, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475416316, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475416375, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475416434, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475416607, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475416845, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475417083, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475417141, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475417320, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475417440, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475417498, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475418014, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475418196, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475418768, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475418829, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475419015, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475419074, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475419133, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475419252, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475419324, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475420269, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475420654, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475420830, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475421405, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475421535, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475421670, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475421973, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475423906, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475424224, student=s, exam=s)
