[keyboard] null (code=97, x=0, y=0, time=1763076996712, student=tagarela, exam=teste1)
[mouse] null (code=0, x=387, y=358, time=1763076998349, student=tagarela, exam=teste1)
[mouse] null (code=0, x=387, y=358, time=1763076998386, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077001077, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077025575, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077025597, student=tagarela, exam=teste1)
[mouse] null (code=0, x=259, y=253, time=1763077025607, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077026407, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077026409, student=tagarela, exam=teste1)
[mouse] null (code=0, x=259, y=253, time=1763077026411, student=tagarela, exam=teste1)
[mouse] null (code=0, x=259, y=253, time=1763077026946, student=tagarela, exam=teste1)
[mouse] null (code=0, x=259, y=253, time=1763077027532, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763077027878, student=tagarela, exam=teste1)
[keyboard] null (code=119, x=0, y=0, time=1763077028406, student=tagarela, exam=teste1)
[keyboard] null (code=119, x=0, y=0, time=1763077028799, student=tagarela, exam=teste1)
[keyboard] null (code=51, x=0, y=0, time=1763077029084, student=tagarela, exam=teste1)
[keyboard] null (code=52, x=0, y=0, time=1763077029331, student=tagarela, exam=teste1)
[keyboard] null (code=53, x=0, y=0, time=1763077029613, student=tagarela, exam=teste1)
[keyboard] null (code=50, x=0, y=0, time=1763077029894, student=tagarela, exam=teste1)
[keyboard] null (code=49, x=0, y=0, time=1763077030129, student=tagarela, exam=teste1)
[keyboard] null (code=113, x=0, y=0, time=1763077030410, student=tagarela, exam=teste1)
[keyboard] null (code=115, x=0, y=0, time=1763077030536, student=tagarela, exam=teste1)
[keyboard] null (code=100, x=0, y=0, time=1763077030721, student=tagarela, exam=teste1)
[keyboard] null (code=97, x=0, y=0, time=1763077031001, student=tagarela, exam=teste1)
[keyboard] null (code=102, x=0, y=0, time=1763077031079, student=tagarela, exam=teste1)
[keyboard] null (code=118, x=0, y=0, time=1763077031123, student=tagarela, exam=teste1)
[keyboard] null (code=119, x=0, y=0, time=1763077031426, student=tagarela, exam=teste1)
[keyboard] null (code=114, x=0, y=0, time=1763077031442, student=tagarela, exam=teste1)
[keyboard] null (code=98, x=0, y=0, time=1763077031610, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763077031907, student=tagarela, exam=teste1)
[keyboard] null (code=113, x=0, y=0, time=1763077032072, student=tagarela, exam=teste1)
[keyboard] null (code=119, x=0, y=0, time=1763077032502, student=tagarela, exam=teste1)
[keyboard] null (code=101, x=0, y=0, time=1763077032820, student=tagarela, exam=teste1)
[keyboard] null (code=114, x=0, y=0, time=1763077033617, student=tagarela, exam=teste1)
[keyboard] null (code=65536, x=0, y=0, time=1763077034699, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077034885, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077036141, student=tagarela, exam=teste1)
[keyboard] null (code=65536, x=0, y=0, time=1763077036960, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077037134, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077042701, student=tagarela, exam=teste1)
[keyboard] null (code=65536, x=0, y=0, time=1763077043712, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077043910, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077060923, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077060944, student=tagarela, exam=teste1)
[mouse] null (code=0, x=259, y=253, time=1763077060961, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077061801, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077061799, student=tagarela, exam=teste1)
[mouse] null (code=0, x=259, y=253, time=1763077061806, student=tagarela, exam=teste1)
[mouse] null (code=0, x=243, y=177, time=1763077064929, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077071000, student=tagarela, exam=teste1)
[mouse] null (code=0, x=118, y=60, time=1763077071003, student=tagarela, exam=teste1)
[mouse] null (code=0, x=118, y=60, time=1763077071537, student=tagarela, exam=teste1)
[mouse] null (code=0, x=118, y=60, time=1763077072040, student=tagarela, exam=teste1)
[mouse] null (code=0, x=118, y=60, time=1763077072389, student=tagarela, exam=teste1)
[mouse] null (code=0, x=118, y=60, time=1763077072741, student=tagarela, exam=teste1)
[mouse] null (code=0, x=118, y=60, time=1763077073133, student=tagarela, exam=teste1)
[mouse] null (code=0, x=118, y=60, time=1763077074795, student=tagarela, exam=teste1)
[keyboard] null (code=97, x=0, y=0, time=1763077075250, student=tagarela, exam=teste1)
[keyboard] null (code=115, x=0, y=0, time=1763077076064, student=tagarela, exam=teste1)
[keyboard] null (code=100, x=0, y=0, time=1763077076557, student=tagarela, exam=teste1)
[keyboard] null (code=102, x=0, y=0, time=1763077076929, student=tagarela, exam=teste1)
[keyboard] null (code=118, x=0, y=0, time=1763077077288, student=tagarela, exam=teste1)
[keyboard] null (code=99, x=0, y=0, time=1763077077662, student=tagarela, exam=teste1)
[keyboard] null (code=122, x=0, y=0, time=1763077078339, student=tagarela, exam=teste1)
[keyboard] null (code=65536, x=0, y=0, time=1763077079164, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077079420, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077124256, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077124286, student=tagarela, exam=teste1)
[mouse] null (code=0, x=710, y=272, time=1763077124298, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077124854, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077124855, student=tagarela, exam=teste1)
[mouse] null (code=0, x=710, y=272, time=1763077124860, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763077125696, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763077126154, student=tagarela, exam=teste1)
[keyboard] null (code=113, x=0, y=0, time=1763077126371, student=tagarela, exam=teste1)
[keyboard] null (code=119, x=0, y=0, time=1763077126707, student=tagarela, exam=teste1)
[keyboard] null (code=101, x=0, y=0, time=1763077126800, student=tagarela, exam=teste1)
[keyboard] null (code=113, x=0, y=0, time=1763077127025, student=tagarela, exam=teste1)
[keyboard] null (code=119, x=0, y=0, time=1763077127035, student=tagarela, exam=teste1)
[keyboard] null (code=101, x=0, y=0, time=1763077127140, student=tagarela, exam=teste1)
[keyboard] null (code=113, x=0, y=0, time=1763077127367, student=tagarela, exam=teste1)
[keyboard] null (code=119, x=0, y=0, time=1763077127373, student=tagarela, exam=teste1)
[keyboard] null (code=101, x=0, y=0, time=1763077127383, student=tagarela, exam=teste1)
[keyboard] null (code=101, x=0, y=0, time=1763077127752, student=tagarela, exam=teste1)
[keyboard] null (code=101, x=0, y=0, time=1763077128030, student=tagarela, exam=teste1)
[keyboard] null (code=101, x=0, y=0, time=1763077128111, student=tagarela, exam=teste1)
[keyboard] null (code=101, x=0, y=0, time=1763077128586, student=tagarela, exam=teste1)
[keyboard] null (code=101, x=0, y=0, time=1763077128997, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077129914, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077129915, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077131346, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077132039, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077132040, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077132670, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077132669, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077133300, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077133303, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077133519, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077133524, student=tagarela, exam=teste1)
[keyboard] null (code=65536, x=0, y=0, time=1763077145646, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077145888, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077151241, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077151272, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077151472, student=tagarela, exam=teste1)
[mouse] null (code=0, x=391, y=317, time=1763077151486, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077152009, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077152013, student=tagarela, exam=teste1)
[mouse] null (code=0, x=391, y=297, time=1763077152015, student=tagarela, exam=teste1)
[mouse] null (code=0, x=391, y=301, time=1763077152260, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077152993, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077152994, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077159388, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077159470, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077181440, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077249162, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077249181, student=tagarela, exam=teste1)
[mouse] null (code=0, x=447, y=113, time=1763077249198, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763077249842, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763077250254, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763077250786, student=tagarela, exam=teste1)
[keyboard] null (code=113, x=0, y=0, time=1763077251094, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077251671, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077251671, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077252480, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077252481, student=tagarela, exam=teste1)
[keyboard] null (code=65536, x=0, y=0, time=1763077252846, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077253222, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077254399, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763077254663, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763077262973, student=tagarela, exam=teste1)
