[keyboard] ALT (code=65536, x=0, y=0, time=1763081575516, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081575684, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576211, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576217, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576220, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576221, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576222, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576223, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576223, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576224, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576224, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576358, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576359, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576361, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081576361, student=asdd, exam=asddd)
[keyboard] ALT (code=65536, x=0, y=0, time=1763081576455, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081576516, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577021, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577011, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577028, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577018, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577020, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577019, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577020, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577021, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577021, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577017, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577030, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577030, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081577029, student=asdd, exam=asddd)
