[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429229853, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429252696, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429252721, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429252801, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429253496, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=2, y=95, time=1763429253499, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429254528, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429256012, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=494, y=304, time=1763429256033, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429256736, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=207, y=0, time=1763429256738, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=52, y=9, time=1763429257236, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429257235, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429257651, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=385, y=276, time=1763429257652, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429258109, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=7, y=9, time=1763429258110, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429260883, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429268803, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=71, y=30, time=1763429268827, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429268824, student=Anonimo, exam=99)
[keyboard]   (code=32, x=0, y=0, time=1763429269491, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429269799, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=70, y=33, time=1763429269801, student=Anonimo, exam=99)
