[focus] null (code=0, x=0, y=0, time=1763001847090, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847091, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847091, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850972, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850972, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850991, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850974, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850975, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850980, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850979, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850975, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850988, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850986, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850989, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850990, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001851000, student=Isac, exam=Prova2)
[mouse] null (code=0, x=103, y=231, time=1763001851005, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001851134, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001851526, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001851553, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001852543, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001852544, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001852544, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001852545, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001852546, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001852546, student=Isac, exam=Prova2)
[mouse] null (code=0, x=596, y=299, time=1763001852547, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001852718, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001852772, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001852839, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001853076, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001853152, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001853205, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001853417, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001853491, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001853572, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001853702, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001853767, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001853833, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001853975, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001854014, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001854063, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001855020, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001855024, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001855025, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001855025, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001855026, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001855026, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001855026, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001855027, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001855027, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001855027, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858276, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858294, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858277, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858295, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858275, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858278, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858296, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858276, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858275, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858288, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858273, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858278, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858303, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858297, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858273, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001858302, student=Isac, exam=Prova2)
[mouse] null (code=0, x=522, y=274, time=1763001858305, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001858422, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001858833, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001859105, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001859200, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001859391, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001859508, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001859633, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001859733, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001859873, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001859996, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001860139, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001860461, student=Isac, exam=Prova2)
