[mouse] MOUSE_DOWN (code=0, x=237, y=232, time=1763078979529, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763078979614, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763078979733, student=quero quero, exam=115)
[keyboard] e (code=101, x=0, y=0, time=1763078979811, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763078979910, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=237, y=232, time=1763078979913, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763078979938, student=quero quero, exam=115)
[keyboard] e (code=101, x=0, y=0, time=1763078980055, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078981316, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078982985, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078982990, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078982992, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078982988, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078982992, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078983014, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078983021, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078983128, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078983129, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078983149, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078983151, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078983154, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078983157, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078983158, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=58, y=232, time=1763078983162, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078983350, student=quero quero, exam=115)
