[keyboard] null (code=32, x=0, y=0, time=1762999262891, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999264158, student=Colega, exam=prova1)
[keyboard] null (code=32, x=0, y=0, time=1762999264370, student=Colega, exam=prova1)
[keyboard] null (code=32, x=0, y=0, time=1762999264873, student=Colega, exam=prova1)
[keyboard] null (code=262144, x=0, y=0, time=1762999265188, student=Colega, exam=prova1)
[keyboard] null (code=97, x=0, y=0, time=1762999265520, student=Colega, exam=prova1)
[keyboard] null (code=115, x=0, y=0, time=1762999265904, student=Colega, exam=prova1)
[keyboard] null (code=97, x=0, y=0, time=1762999265977, student=Colega, exam=prova1)
[keyboard] null (code=100, x=0, y=0, time=1762999266113, student=Colega, exam=prova1)
[keyboard] null (code=97, x=0, y=0, time=1762999266294, student=Colega, exam=prova1)
[keyboard] null (code=113, x=0, y=0, time=1762999266470, student=Colega, exam=prova1)
[keyboard] null (code=101, x=0, y=0, time=1762999266727, student=Colega, exam=prova1)
[keyboard] null (code=113, x=0, y=0, time=1762999266904, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999266932, student=Colega, exam=prova1)
[keyboard] null (code=113, x=0, y=0, time=1762999267153, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999267371, student=Colega, exam=prova1)
[keyboard] null (code=100, x=0, y=0, time=1762999267425, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268301, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268308, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268309, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268309, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268308, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268312, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268311, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268315, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268316, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268318, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268320, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999268334, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271931, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271938, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271940, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271942, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271944, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271948, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271949, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271950, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271951, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271952, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271954, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999271953, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999272486, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999272490, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999272490, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999272491, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999272491, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999272492, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999272492, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999272493, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999272493, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999272493, student=Colega, exam=prova1)
