[mouse] MOUSE (code=0, x=22, y=69, time=1764262105085, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=43, y=82, time=1764262108478, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=116, y=137, time=1764262111022, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=116, y=137, time=1764262111083, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=40, y=87, time=1764262127014, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764262349276, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764262352403, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764262354031, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764262407646, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764262408636, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764262427238, student=koko, exam=prova1)
[keyboard] ALT (code=65536, x=0, y=0, time=1764262427953, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764262428018, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764262610252, student=koko, exam=prova1)
[keyboard] ALT (code=65536, x=0, y=0, time=1764262640489, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764262640598, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764262646284, student=koko, exam=prova1)
[keyboard] ALT (code=65536, x=0, y=0, time=1764262654441, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764262654509, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764262655633, student=koko, exam=prova1)
[keyboard] ALT (code=65536, x=0, y=0, time=1764262655761, student=koko, exam=prova1)
