[focus] null (code=0, x=0, y=0, time=1763002545434, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002545425, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002545436, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002545439, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002545440, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002545442, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002545443, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002545448, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002545454, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002545457, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002545458, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002545459, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548028, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548034, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548033, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548032, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548034, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548039, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548040, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548041, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548042, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548042, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548042, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548044, student=Anonimo, exam=Teste)
[keyboard] null (code=65536, x=0, y=0, time=1763002548335, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548420, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548427, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548428, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548429, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548430, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548430, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548431, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548434, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548434, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548434, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548435, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002548435, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585287, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585295, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585297, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585269, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585290, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585265, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585267, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585268, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585269, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585271, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585281, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585270, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585288, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585289, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585267, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002585268, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=529, y=223, time=1763002585301, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002585805, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002585853, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002585927, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002586001, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002586002, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002586003, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002586004, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002586004, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002586005, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=297, y=286, time=1763002586005, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002586269, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002586335, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002586420, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002587005, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002587020, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002587027, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002587027, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002587029, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002587029, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002587030, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002587030, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002587031, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002587031, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590022, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590020, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=518, y=319, time=1763002590030, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002589994, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590023, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002589991, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590021, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590013, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002589996, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002589998, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002589997, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002589995, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590026, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590028, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002589994, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002589993, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002589996, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002590118, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002590245, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002590345, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002590583, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002590682, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002590812, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590875, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590876, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590877, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590878, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590879, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=518, y=319, time=1763002590881, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002590880, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002591078, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002591095, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002591184, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002591490, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002591541, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002591658, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002591849, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002592502, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002592512, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002592513, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002592514, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002592514, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002592515, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002592515, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002592515, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002592517, student=Anonimo, exam=Teste)
