[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780056249, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780056452, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780057519, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780058548, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780059579, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780060625, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780061658, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780062666, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780063758, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780064864, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780065942, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780066040, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780066237, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780066343, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780066445, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780066531, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780066641, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780067356, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780067452, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780068476, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780068560, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780068758, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780069759, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780070704, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780070802, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780071475, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780071782, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780071886, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780072045, student=zxz, exam=zxxz)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780073105, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780073856, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780073961, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780074185, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780074266, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780074533, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780074727, student=zxz, exam=zxxz)
