[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418419892, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418420787, student=a, exam=a)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765418421986, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418425592, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418426009, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418428698, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418428814, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418430937, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418434601, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418439814, student=a, exam=a)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765418442427, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418445591, student=a, exam=a)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765418446981, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418448652, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418450915, student=a, exam=a)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765418452549, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418452735, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418453860, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418459792, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418470092, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418470350, student=a, exam=a)
[vision] OLHANDO_PARA_CIMA (code=0, x=0, y=0, time=1765418475023, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418475131, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418476976, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418477099, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418477290, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418477544, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418478428, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418478711, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418479451, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418479552, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418479845, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418479940, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418480077, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418480265, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418480796, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418481131, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418481236, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418482074, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418482168, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418482429, student=a, exam=a)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765418483214, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418483232, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418483542, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418487048, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418487192, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418487846, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418487934, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418489374, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418489465, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418489851, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418489951, student=a, exam=a)
[vision] OLHANDO_PARA_CIMA (code=0, x=0, y=0, time=1765418490336, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418490601, student=a, exam=a)
