[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294851, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294853, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294865, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294864, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294863, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081295168, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081296053, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081296056, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081296057, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081296059, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081296058, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081296061, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081296064, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081296062, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081296065, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=308, y=267, time=1763081296108, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081296093, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081296082, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081296464, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=338, y=254, time=1763081296468, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=338, y=254, time=1763081296487, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763081296528, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763081296700, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763081296855, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763081297031, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763081297066, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=338, y=254, time=1763081297175, student=asd, exam=asd)
[keyboard]   (code=32, x=0, y=0, time=1763081297182, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763081297202, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763081297308, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081298575, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081300274, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081300249, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081300249, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081300251, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=387, y=262, time=1763081300287, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081300247, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081300247, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081300250, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081300251, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081300266, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081300251, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081300250, student=asd, exam=asd)
[keyboard]   (code=32, x=0, y=0, time=1763081300462, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763081300678, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763081301119, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763081301132, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763081301250, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763081301454, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763081301495, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763081301593, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081301616, student=asd, exam=asd)
