[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084972160, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084972476, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084972806, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084973114, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084973385, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084973661, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084977758, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084977975, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084978200, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084978400, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084978592, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084978763, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084978937, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084979150, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084979298, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084979460, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084979641, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084980151, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084980261, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084980309, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084980338, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084980369, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084980462, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084980572, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084980696, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084980819, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084980929, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084981030, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084981158, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084981288, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084981396, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084981511, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084981623, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084981676, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084981708, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084981742, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084981848, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084981976, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084982078, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=140, y=235, time=1763084982167, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=228, y=215, time=1763084982574, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=228, y=215, time=1763084982614, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=238, y=190, time=1763084983156, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=241, y=172, time=1763084983269, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=241, y=172, time=1763084983804, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=241, y=172, time=1763084983844, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=277, y=117, time=1763084984443, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=277, y=117, time=1763084984474, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084984863, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=64, y=68, time=1763084984866, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=64, y=68, time=1763084984911, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084985229, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=576, y=271, time=1763084985231, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=576, y=271, time=1763084985265, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084985586, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=2, y=11, time=1763084985592, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=2, y=11, time=1763084985611, student=qwe, exam=qwe)
